group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench2,,,,,77083.0,ns,84
bench2,,,,,154958.0,ns,168
bench2,,,,,233583.0,ns,252
bench2,,,,,308583.0,ns,336
bench2,,,,,386416.0,ns,420
bench2,,,,,466791.0,ns,504
bench2,,,,,2358375.0,ns,588
bench2,,,,,616458.0,ns,672
bench2,,,,,699791.0,ns,756
bench2,,,,,780666.0,ns,840
bench2,,,,,2871791.0,ns,924
bench2,,,,,1281666.0,ns,1008
bench2,,,,,142698416.0,ns,1092
bench2,,,,,1192125.0,ns,1176
bench2,,,,,3498416.0,ns,1260
bench2,,,,,1981541.0,ns,1344
bench2,,,,,2556916.0,ns,1428
bench2,,,,,1396541.0,ns,1512
bench2,,,,,3746625.0,ns,1596
bench2,,,,,1641958.0,ns,1680
bench2,,,,,4102416.0,ns,1764
bench2,,,,,1785958.0,ns,1848
bench2,,,,,3275083.0,ns,1932
bench2,,,,,95677875.0,ns,2016
bench2,,,,,4216666.0,ns,2100
bench2,,,,,3637958.0,ns,2184
bench2,,,,,2313250.0,ns,2268
bench2,,,,,4717625.0,ns,2352
bench2,,,,,4960458.0,ns,2436
bench2,,,,,4352000.0,ns,2520
bench2,,,,,157424416.0,ns,2604
bench2,,,,,5038125.0,ns,2688
bench2,,,,,5077083.0,ns,2772
bench2,,,,,5970166.0,ns,2856
bench2,,,,,4388000.0,ns,2940
bench2,,,,,5371541.0,ns,3024
bench2,,,,,201757125.0,ns,3108
bench2,,,,,5051333.0,ns,3192
bench2,,,,,4201125.0,ns,3276
bench2,,,,,4701208.0,ns,3360
bench2,,,,,5987708.0,ns,3444
bench2,,,,,161154291.0,ns,3528
bench2,,,,,3639958.0,ns,3612
bench2,,,,,6957958.0,ns,3696
bench2,,,,,4501958.0,ns,3780
bench2,,,,,123188250.0,ns,3864
bench2,,,,,12448541.0,ns,3948
bench2,,,,,11728208.0,ns,4032
bench2,,,,,6169958.0,ns,4116
bench2,,,,,5702375.0,ns,4200
bench2,,,,,146733458.0,ns,4284
bench2,,,,,8022083.0,ns,4368
bench2,,,,,6458875.0,ns,4452
bench2,,,,,177481500.0,ns,4536
bench2,,,,,8320125.0,ns,4620
bench2,,,,,7107833.0,ns,4704
bench2,,,,,6115875.0,ns,4788
bench2,,,,,167382958.0,ns,4872
bench2,,,,,8643666.0,ns,4956
bench2,,,,,7111708.0,ns,5040
bench2,,,,,287033708.0,ns,5124
bench2,,,,,10813458.0,ns,5208
bench2,,,,,9835541.0,ns,5292
bench2,,,,,187100541.0,ns,5376
bench2,,,,,9591833.0,ns,5460
bench2,,,,,9808208.0,ns,5544
bench2,,,,,98370375.0,ns,5628
bench2,,,,,10644083.0,ns,5712
bench2,,,,,9419416.0,ns,5796
bench2,,,,,224874875.0,ns,5880
bench2,,,,,10729958.0,ns,5964
bench2,,,,,13927291.0,ns,6048
bench2,,,,,86549000.0,ns,6132
bench2,,,,,9494208.0,ns,6216
bench2,,,,,25211416.0,ns,6300
bench2,,,,,190463583.0,ns,6384
bench2,,,,,10140125.0,ns,6468
bench2,,,,,169882625.0,ns,6552
bench2,,,,,10935541.0,ns,6636
bench2,,,,,12753416.0,ns,6720
bench2,,,,,93236958.0,ns,6804
bench2,,,,,10063625.0,ns,6888
bench2,,,,,207507166.0,ns,6972
bench2,,,,,13906000.0,ns,7056
bench2,,,,,13595083.0,ns,7140
bench2,,,,,152951666.0,ns,7224
bench2,,,,,11917041.0,ns,7308
bench2,,,,,107212125.0,ns,7392
bench2,,,,,19425875.0,ns,7476
bench2,,,,,167304708.0,ns,7560
bench2,,,,,9766500.0,ns,7644
bench2,,,,,248964916.0,ns,7728
bench2,,,,,13690833.0,ns,7812
bench2,,,,,197440666.0,ns,7896
bench2,,,,,14260958.0,ns,7980
bench2,,,,,78148375.0,ns,8064
bench2,,,,,12554041.0,ns,8148
bench2,,,,,206537500.0,ns,8232
bench2,,,,,15489083.0,ns,8316
bench2,,,,,182740541.0,ns,8400
